"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","docker-swarm-worker-3",,,,"User:","ubuntu"
"Cmdline:","dstat -N ens3 --output 2-cassandra-swarm-3-ContainerIPs_NET-ens3-docker-swarm-worker-3.csv --noheaders --noupdate 5",,,,"Date:","19 Sep 2017 10:59:57 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/ens3",,"paging",,"system",
0.506,0.404,98.989,0.0,0.0,0.101,0.0,15564.800,2969.0,2875.800,0.0,0.0,526.800,1035.800
0.811,0.507,98.682,0.0,0.0,0.0,0.0,4915.200,3669.400,3279.0,0.0,0.0,616.800,1241.800
0.203,0.304,99.392,0.101,0.0,0.0,0.0,7372.800,2458.200,2146.200,0.0,0.0,472.200,937.400
0.706,0.505,98.587,0.0,0.0,0.202,0.0,7372.800,1841.200,2475.400,0.0,0.0,603.200,1203.0
0.404,0.404,99.090,0.101,0.0,0.0,0.0,5734.400,1905.800,1820.0,0.0,0.0,530.0,1048.800
0.504,0.605,98.790,0.0,0.0,0.101,0.0,9011.200,1530.800,1461.0,0.0,0.0,547.0,1107.0
0.605,0.403,98.992,0.0,0.0,0.0,0.0,4096.0,2758.200,2682.0,0.0,0.0,447.600,877.200
0.811,0.507,98.479,0.101,0.0,0.101,0.0,10649.600,2989.0,2481.200,0.0,0.0,638.800,1272.0
0.706,0.403,98.891,0.0,0.0,0.0,0.0,9011.200,2790.400,2719.800,0.0,0.0,510.200,995.0
1.007,0.504,98.389,0.101,0.0,0.0,0.0,10649.600,1996.0,2734.0,0.0,0.0,628.200,1253.200
0.505,0.303,99.092,0.0,0.0,0.101,0.0,0.0,1890.800,1618.800,0.0,0.0,464.800,924.800
0.505,0.404,98.890,0.101,0.0,0.101,0.0,4915.200,1680.600,1584.600,0.0,0.0,540.600,1083.200
0.706,0.505,98.789,0.0,0.0,0.0,0.0,10649.600,2019.0,2023.200,0.0,0.0,466.0,932.800
1.418,0.811,97.062,0.709,0.0,0.0,0.0,4915.200,2764.800,2702.0,0.0,0.0,648.0,1275.600
0.604,0.402,98.793,0.101,0.0,0.101,0.0,5734.400,2495.600,2213.600,0.0,0.0,446.600,877.400
0.707,0.404,98.788,0.0,0.0,0.101,0.0,12288.0,1838.0,2599.200,0.0,0.0,574.800,1148.400
1.917,0.706,96.973,0.404,0.0,0.0,0.0,45056.0,2173.400,2087.200,0.0,0.0,557.0,1102.400
0.507,0.507,98.886,0.101,0.0,0.0,0.0,11468.800,1877.800,1756.200,0.0,0.0,627.400,1265.0
2.414,1.006,95.171,1.308,0.0,0.101,0.0,113049.600,3388.400,2984.800,0.0,0.0,643.800,1298.800
1.615,0.404,97.679,0.202,0.0,0.101,0.0,20480.0,2393.0,1903.0,0.0,0.0,591.400,1199.600
0.806,0.504,98.590,0.0,0.0,0.101,0.0,4915.200,3001.0,2887.200,0.0,0.0,541.400,1070.0
0.706,0.404,98.688,0.101,0.0,0.101,0.0,9830.400,2367.800,3115.600,0.0,0.0,565.200,1146.200
0.704,0.503,98.793,0.0,0.0,0.0,0.0,20480.0,2847.800,2383.600,0.0,0.0,505.200,996.800
0.507,0.405,98.987,0.101,0.0,0.0,0.0,10649.600,1895.800,1768.200,0.0,0.0,609.200,1220.800
1.009,0.605,98.285,0.101,0.0,0.0,0.0,16384.0,2323.600,2236.0,0.0,0.0,502.0,1017.200
0.607,0.607,98.787,0.0,0.0,0.0,0.0,13107.200,2216.800,1713.0,0.0,0.0,606.600,1208.400
0.403,0.403,98.993,0.101,0.0,0.101,0.0,10649.600,1688.0,1677.400,0.0,0.0,447.0,886.800
1.106,0.704,97.990,0.101,0.0,0.101,0.0,4096.0,51294.600,50903.800,0.0,0.0,677.200,1365.600
0.605,0.505,98.890,0.0,0.0,0.0,0.0,5734.400,1549.200,1493.0,0.0,0.0,487.800,984.400
1.011,0.202,98.584,0.101,0.0,0.101,0.0,16384.0,1785.200,1701.600,0.0,0.0,608.600,1218.800
0.704,0.402,98.793,0.101,0.0,0.0,0.0,9011.200,2271.400,2207.600,0.0,0.0,443.400,878.800
1.013,0.405,98.582,0.0,0.0,0.0,0.0,4915.200,1718.200,1495.600,0.0,0.0,571.0,1143.800
0.705,0.906,98.187,0.101,0.0,0.101,0.0,8192.0,2984.0,2852.0,0.0,0.0,560.800,1111.0
1.011,0.404,98.382,0.101,0.0,0.101,0.0,10649.600,1740.600,2364.600,0.0,0.0,598.800,1206.200
0.504,0.705,98.691,0.0,0.0,0.101,0.0,4915.200,1774.400,1713.600,0.0,0.0,478.600,948.0
0.505,0.505,98.889,0.101,0.0,0.0,0.0,9830.400,1559.600,1465.800,0.0,0.0,564.0,1136.200
0.706,0.706,98.587,0.0,0.0,0.0,0.0,10649.600,2986.0,2928.200,0.0,0.0,531.200,1052.0
1.111,0.505,98.182,0.101,0.0,0.101,0.0,4915.200,2138.400,1644.800,0.0,0.0,630.800,1270.0
0.505,0.404,98.990,0.101,0.0,0.0,0.0,4915.200,2485.400,2190.200,0.0,0.0,466.0,932.200
0.807,0.404,98.688,0.0,0.0,0.101,0.0,11468.800,2825.0,3355.0,0.0,0.0,589.400,1173.800
0.605,0.605,98.790,0.0,0.0,0.0,0.0,1638.400,1226.200,1229.200,0.0,0.0,485.600,958.600
0.404,0.404,98.989,0.101,0.0,0.101,0.0,4096.0,1509.400,1413.600,0.0,0.0,546.0,1104.0
0.504,0.504,98.892,0.101,0.0,0.0,0.0,9011.200,2260.200,2256.200,0.0,0.0,450.0,890.200
1.417,0.506,98.077,0.0,0.0,0.0,0.0,10649.600,1682.600,1477.0,0.0,0.0,605.600,1210.400
0.912,0.405,98.480,0.101,0.0,0.101,0.0,4915.200,2318.600,2244.200,0.0,0.0,573.200,1134.400
0.705,0.604,98.590,0.101,0.0,0.0,0.0,4096.0,1722.200,2472.200,0.0,0.0,566.600,1130.0
0.504,0.403,99.093,0.0,0.0,0.0,0.0,7372.800,1628.200,1592.0,0.0,0.0,423.0,839.0
0.406,0.406,99.087,0.101,0.0,0.0,0.0,9830.400,1860.400,1750.200,0.0,0.0,614.200,1248.800
0.404,0.404,99.090,0.0,0.0,0.101,0.0,11468.800,2433.200,2366.800,0.0,0.0,502.800,1006.200
0.506,0.607,98.787,0.101,0.0,0.0,0.0,6553.600,3132.800,2647.200,0.0,0.0,594.800,1197.600
0.906,0.604,98.389,0.0,0.0,0.101,0.0,17203.200,2037.200,1985.800,0.0,0.0,454.400,901.600
0.608,0.405,98.886,0.101,0.0,0.0,0.0,13926.400,2553.200,3183.600,0.0,0.0,624.0,1247.400
0.604,0.604,98.590,0.101,0.0,0.101,0.0,18841.600,2662.200,2372.600,0.0,0.0,516.600,1030.200
0.405,0.507,99.088,0.0,0.0,0.0,0.0,10649.600,1778.800,1675.0,0.0,0.0,637.0,1280.800
0.702,0.602,98.495,0.100,0.0,0.100,0.0,4915.200,2755.600,2738.600,0.0,0.0,430.600,848.0
0.203,0.507,99.189,0.101,0.0,0.0,0.0,4915.200,2998.400,2461.200,0.0,0.0,578.400,1166.0
0.909,0.707,98.384,0.0,0.0,0.0,0.0,0.0,1864.800,1851.400,0.0,0.0,562.800,1106.200
0.607,0.607,98.787,0.0,0.0,0.0,0.0,4096.0,1994.200,2580.200,0.0,0.0,589.600,1190.200
0.605,0.101,99.294,0.0,0.0,0.0,0.0,7372.800,2163.400,2113.200,0.0,0.0,422.0,835.600
0.504,0.605,98.790,0.101,0.0,0.0,0.0,11468.800,1512.0,1465.200,0.0,0.0,540.800,1085.200
0.807,0.605,98.285,0.101,0.0,0.202,0.0,8192.0,2666.200,2542.200,0.0,0.0,520.400,1029.800
0.605,0.605,98.688,0.0,0.0,0.101,0.0,4915.200,1965.600,1513.800,0.0,0.0,582.600,1171.0
1.007,0.504,98.489,0.0,0.0,0.0,0.0,4915.200,2166.400,1890.800,0.0,0.0,456.600,892.400
0.907,0.403,98.589,0.0,0.0,0.101,0.0,0.0,1904.400,2597.800,0.0,0.0,577.200,1163.400
0.505,0.605,98.789,0.101,0.0,0.0,0.0,9830.400,1606.800,1576.400,0.0,0.0,492.200,986.400
0.506,0.404,98.989,0.0,0.0,0.101,0.0,10649.600,1648.600,1566.600,0.0,0.0,588.0,1185.0
0.404,0.505,98.990,0.101,0.0,0.0,0.0,8192.0,3045.0,2933.600,0.0,0.0,488.800,967.600
1.613,0.706,97.581,0.101,0.0,0.0,0.0,10649.600,3032.400,2525.800,0.0,0.0,624.400,1248.200
0.606,0.505,98.788,0.0,0.0,0.101,0.0,9011.200,1985.800,1894.800,0.0,0.0,574.0,1151.200
1.211,0.706,98.083,0.0,0.0,0.0,0.0,4096.0,2548.0,3260.0,0.0,0.0,603.400,1191.200
0.604,0.503,98.692,0.101,0.0,0.101,0.0,9011.200,2732.200,2433.600,0.0,0.0,487.200,967.600
0.705,0.604,98.590,0.0,0.0,0.101,0.0,4915.200,1796.200,1686.0,0.0,0.0,532.0,1063.600
1.010,0.505,98.384,0.101,0.0,0.0,0.0,12288.0,2334.0,2285.200,0.0,0.0,541.0,1068.800
0.504,0.504,98.790,0.0,0.0,0.202,0.0,15564.800,1911.200,1523.800,0.0,0.0,545.200,1081.600
0.403,0.504,98.992,0.101,0.0,0.0,0.0,9011.200,2562.200,2522.400,0.0,0.0,454.600,904.800
1.111,0.606,98.283,0.0,0.0,0.0,0.0,4096.0,1900.600,2652.400,0.0,0.0,588.400,1180.200
0.507,0.405,98.987,0.101,0.0,0.0,0.0,5734.400,1976.600,1748.400,0.0,0.0,544.0,1087.200
0.605,0.505,98.890,0.0,0.0,0.0,0.0,4915.200,1727.200,1618.0,0.0,0.0,580.800,1178.200
0.405,0.304,99.190,0.0,0.0,0.101,0.0,4915.200,3017.600,2938.200,0.0,0.0,494.400,986.200
0.706,0.504,98.589,0.101,0.0,0.101,0.0,7372.800,1743.200,1539.200,0.0,0.0,630.200,1253.400
0.506,0.303,99.090,0.101,0.0,0.0,0.0,15564.800,2388.600,2326.400,0.0,0.0,551.600,1098.200
1.113,0.405,98.381,0.101,0.0,0.0,0.0,4915.200,2694.200,3256.0,0.0,0.0,558.200,1106.0
0.303,0.505,99.091,0.0,0.0,0.101,0.0,4096.0,1682.800,1611.600,0.0,0.0,481.400,950.600
0.404,0.505,99.091,0.0,0.0,0.0,0.0,0.0,1659.200,1570.800,0.0,0.0,589.800,1178.600
0.804,0.704,98.291,0.101,0.0,0.101,0.0,4915.200,2522.400,2445.0,0.0,0.0,535.200,1054.600
0.405,0.607,98.887,0.101,0.0,0.0,0.0,8192.0,2470.400,2133.200,0.0,0.0,579.200,1168.800
0.504,0.706,98.790,0.0,0.0,0.0,0.0,13107.200,2214.800,1959.400,0.0,0.0,504.600,1003.600
0.507,0.406,98.884,0.101,0.0,0.101,0.0,11468.800,51105.800,50767.800,0.0,0.0,652.800,1337.200
1.208,0.504,98.087,0.101,0.0,0.101,0.0,7372.800,1444.800,1450.800,0.0,0.0,512.400,1020.200
1.616,0.404,97.980,0.0,0.0,0.0,0.0,4096.0,1458.200,1408.600,0.0,0.0,497.400,983.400
0.807,0.505,98.587,0.101,0.0,0.0,0.0,4915.200,2526.600,2423.400,0.0,0.0,509.0,1001.400
1.515,0.505,97.879,0.101,0.0,0.0,0.0,9011.200,2943.800,2469.200,0.0,0.0,602.400,1203.800
1.417,0.405,97.976,0.101,0.0,0.101,0.0,5734.400,1689.200,1673.600,0.0,0.0,516.600,1017.800
0.607,0.405,98.988,0.0,0.0,0.0,0.0,9830.400,1798.200,2546.200,0.0,0.0,561.600,1128.200
1.514,0.404,97.982,0.101,0.0,0.0,0.0,8192.0,2089.400,1641.600,0.0,0.0,484.400,954.400
1.212,0.505,98.182,0.101,0.0,0.0,0.0,10649.600,1666.400,1591.600,0.0,0.0,562.400,1117.200
0.707,0.404,98.687,0.101,0.0,0.101,0.0,7372.800,2896.800,2840.600,0.0,0.0,535.400,1059.800
15.590,2.769,81.026,0.0,0.0,0.615,0.0,12288.0,89496.800,89137.200,0.0,0.0,2292.200,5357.400
36.383,11.195,49.300,0.0,0.0,3.122,0.0,7372.800,468212.800,451347.400,0.0,0.0,6607.0,16334.600
40.865,15.892,38.595,0.216,0.0,4.432,0.0,627507.200,643927.200,630353.800,0.0,0.0,8064.400,20878.800
31.596,20.510,42.461,0.111,0.0,5.322,0.0,14745.600,894460.200,869803.200,0.0,0.0,10579.0,27187.400
28.842,18.708,43.764,2.227,0.0,6.459,0.0,1382809.600,892347.800,872136.800,0.0,0.0,10475.600,26273.400
49.725,19.692,24.972,0.0,0.0,5.611,0.0,2397798.400,937068.800,920548.0,0.0,0.0,10052.800,27420.200
34.093,19.544,38.979,0.109,0.0,7.275,0.0,1634304.0,1052512.0,1022608.0,0.0,0.0,11071.0,28388.400
26.514,23.314,41.600,0.0,0.0,8.571,0.0,898662.400,1329706.600,1304564.0,0.0,0.0,13167.800,32655.0
35.498,22.284,31.579,3.135,0.0,7.503,0.0,3882188.800,1209731.800,1188743.200,0.0,0.0,12209.800,31529.600
29.819,25.283,36.395,0.113,0.0,8.390,0.0,13107.200,1463308.400,1446266.0,0.0,0.0,13072.800,33798.400
22.962,24.455,42.939,0.115,0.0,9.529,0.0,2476441.600,1536210.800,1526586.600,0.0,0.0,13585.200,33617.800
33.220,25.876,32.542,0.452,0.0,7.910,0.0,2628812.800,1581777.0,1560145.600,0.0,0.0,13580.0,34541.400
22.897,25.818,41.589,0.467,0.0,9.229,0.0,2714828.800,1653079.400,1642455.200,0.0,0.0,14619.600,35683.400
56.895,20.413,15.527,1.086,0.0,6.080,0.0,2695168.0,987298.400,992840.200,0.0,0.0,9428.600,26393.0
36.766,23.034,30.233,3.433,0.0,6.534,0.0,12233113.600,1043103.600,1014295.0,0.0,0.0,9593.400,25830.800
25.682,25.795,39.659,0.114,0.0,8.750,0.0,15564.800,1579232.800,1564152.0,0.0,0.0,14498.200,35035.0
33.109,23.457,33.333,0.898,0.0,9.203,0.0,4986470.400,1480120.400,1467096.400,0.0,0.0,12931.800,33044.200
23.140,25.814,41.512,0.0,0.0,9.535,0.0,23756.800,1656001.400,1643302.600,0.0,0.0,14325.0,35277.0
29.162,23.421,39.839,0.689,0.0,6.889,0.0,5289574.400,1452916.800,1442754.600,0.0,0.0,12859.800,31898.800
24.177,27.015,39.274,0.114,0.0,9.421,0.0,9830.400,1752767.600,1735901.400,0.0,0.0,15058.0,37441.800
42.511,21.035,28.634,1.652,0.0,6.167,0.0,5074124.800,1090990.200,1086953.200,0.0,0.0,9420.200,26893.200
49.063,20.507,21.389,2.756,0.0,6.284,819.200,18361548.800,1056059.400,1032266.800,0.0,0.0,9125.800,26436.400
25.870,24.130,40.371,0.348,0.0,9.281,0.0,1489305.600,1656186.800,1644893.0,0.0,0.0,14502.400,35791.400
31.103,26.056,34.272,0.587,0.0,7.981,0.0,2458419.200,1597424.600,1584883.400,0.0,0.0,14151.0,35464.800
23.077,24.734,42.722,1.538,0.0,7.929,0.0,2789376.0,1653356.800,1643371.200,0.0,0.0,14753.600,35889.200
30.320,20.824,40.618,0.801,0.0,7.437,0.0,2596044.800,1330917.600,1311133.600,0.0,0.0,11463.200,29371.400
24.683,24.452,40.830,0.577,0.0,9.458,0.0,2634547.200,1658760.400,1653467.400,0.0,0.0,14788.600,36474.0
26.971,24.914,38.400,1.029,0.0,8.686,0.0,2522316.800,1529831.200,1522671.200,0.0,0.0,13700.200,33840.600
27.024,25.086,38.997,0.342,0.0,8.552,819.200,2752512.0,1611941.600,1597573.0,0.0,0.0,14650.0,36124.0
47.363,23.120,20.539,1.571,0.0,7.407,0.0,2451046.400,1309258.800,1288552.600,0.0,0.0,11184.800,30297.400
33.258,23.269,32.577,3.519,0.0,7.378,0.0,12100403.200,1222258.0,1203060.200,0.0,0.0,11273.0,29240.400
24.883,27.220,38.201,0.117,0.0,9.579,0.0,33587.200,1752794.200,1740606.600,0.0,0.0,15166.200,37538.400
30.760,24.745,33.825,2.270,0.0,8.400,0.0,5478809.600,1435971.800,1429771.600,0.0,0.0,12961.800,32763.800
24.476,23.660,42.657,0.117,0.0,9.091,0.0,5734.400,1593235.0,1582371.800,0.0,0.0,13947.600,34703.800
30.857,24.457,35.429,1.029,0.0,8.229,0.0,5228953.600,1495492.0,1481910.400,0.0,0.0,13365.0,34139.600
23.368,27.606,39.404,0.0,0.0,9.622,0.0,10649.600,1668404.0,1655307.400,0.0,0.0,14876.600,36359.0
42.210,26.851,20.221,3.094,0.0,7.624,819.200,5400985.600,1377968.600,1363211.400,0.0,0.0,12478.400,32146.600
40.471,19.395,31.614,3.363,0.0,5.157,0.0,18122342.400,933002.800,916435.800,0.0,0.0,8652.800,23413.200
22.795,24.742,42.039,0.687,0.0,9.737,0.0,1681817.600,1611900.400,1603488.200,0.0,0.0,14072.0,34726.800
26.454,22.805,41.163,1.254,0.0,8.324,0.0,2396160.0,1377877.400,1359250.0,0.0,0.0,12307.0,30968.600
22.811,22.581,44.931,1.037,0.0,8.641,0.0,2484633.600,1501050.400,1490190.0,0.0,0.0,13470.400,32788.400
28.150,23.950,36.890,1.249,0.0,9.762,0.0,2437939.200,1508210.400,1499349.0,0.0,0.0,13262.600,33444.200
23.068,25.227,40.682,1.023,0.0,10.0,0.0,2191360.0,1600417.0,1591016.400,0.0,0.0,14069.600,34842.400
23.678,24.253,42.069,1.839,0.0,8.161,0.0,3020390.400,1430374.400,1411380.0,0.0,0.0,12387.600,30992.600
27.386,23.864,39.886,0.0,0.0,8.864,0.0,19660.800,1523140.400,1508667.200,0.0,0.0,13935.0,34512.0
35.941,24.717,28.798,1.927,0.0,8.617,819.200,5204377.600,1574197.800,1560171.200,0.0,0.0,13271.400,34681.600
32.933,19.847,39.913,1.418,0.0,5.889,0.0,9857433.600,1081100.600,1067411.0,0.0,0.0,10154.600,26949.400
23.577,25.784,40.650,0.697,0.0,9.292,0.0,2290483.200,1661175.0,1651935.800,0.0,0.0,14806.200,36422.600
37.444,21.300,32.175,2.130,0.0,6.951,0.0,4268032.0,1292325.600,1285355.800,0.0,0.0,11679.0,30259.0
35.491,20.089,37.612,0.0,0.0,6.808,0.0,712704.0,1238028.800,1237873.800,0.0,0.0,9964.0,28084.600
27.440,25.029,36.969,1.263,0.0,9.300,0.0,2454323.200,1686932.200,1676906.200,0.0,0.0,14244.200,35930.0
26.484,25.571,39.726,0.228,0.0,7.991,0.0,2478899.200,1539990.800,1533129.400,0.0,0.0,13923.200,34115.600
36.177,24.118,29.807,1.934,0.0,7.964,819.200,2680422.400,1491094.200,1470163.600,0.0,0.0,12147.400,32071.600
48.850,22.344,18.620,3.067,0.0,7.119,0.0,19700121.600,1149763.400,1127372.600,0.0,0.0,9419.800,26925.200
19.106,18.883,54.302,0.335,0.0,7.374,0.0,1345126.400,1119604.200,1117523.0,0.0,0.0,11380.0,27264.600
27.377,24.055,37.457,2.176,0.0,8.935,0.0,3199795.200,1539904.800,1518889.400,0.0,0.0,13237.600,33147.400
24.485,24.027,44.165,0.114,0.0,7.208,0.0,10649.600,1436230.0,1425575.0,0.0,0.0,12835.0,32435.800
25.497,25.497,37.427,2.690,0.0,8.889,0.0,5100339.200,1556069.600,1538728.400,0.0,0.0,13726.200,33934.400
25.408,24.942,39.977,0.233,0.0,9.441,0.0,14745.600,1611043.800,1615477.0,0.0,0.0,14479.0,36146.200
26.027,23.630,40.868,1.256,0.0,8.219,0.0,5492736.0,1462305.400,1448415.400,0.0,0.0,13231.0,32638.400
26.802,24.099,39.977,0.0,0.0,9.122,0.0,31129.600,1500726.400,1489907.800,0.0,0.0,13237.200,33485.0
24.306,24.537,41.088,0.926,0.0,9.144,0.0,2265907.200,1650769.0,1644885.200,0.0,0.0,14475.400,35730.800
53.115,27.541,9.617,1.311,0.0,8.415,0.0,2668953.600,1425537.800,1381803.600,0.0,0.0,11590.600,34212.400
18.786,19.931,51.775,2.405,0.0,7.102,819.200,12514099.200,1183124.600,1187148.0,0.0,0.0,11896.800,28796.0
28.246,24.829,37.585,1.025,0.0,8.314,0.0,2694348.800,1597259.0,1584402.200,0.0,0.0,13691.0,34932.800
27.027,23.649,38.739,0.788,0.0,9.797,0.0,2710732.800,1548934.600,1530505.400,0.0,0.0,13654.0,33145.400
26.434,24.184,39.370,1.237,0.0,8.774,0.0,2573926.400,1483357.400,1457647.200,0.0,0.0,12992.400,33165.600
28.654,27.030,35.151,0.464,0.0,8.701,0.0,2475622.400,1663052.0,1645552.800,0.0,0.0,14782.200,36958.400
22.364,25.724,42.642,0.116,0.0,9.154,0.0,27033.600,1639873.800,1630068.0,0.0,0.0,14562.800,35866.0
53.677,24.259,13.721,1.647,0.0,6.696,819.200,5372313.600,1206867.200,1164085.400,0.0,0.0,10034.400,28843.800
51.316,18.969,19.298,4.276,0.0,6.140,0.0,18919424.0,916634.400,902661.400,0.0,0.0,8413.800,24046.800
44.843,20.195,29.207,0.217,0.0,5.537,0.0,669286.400,972802.600,951146.0,0.0,0.0,8409.400,24292.0
50.375,23.044,19.936,0.536,0.0,6.109,0.0,2428108.800,1031188.0,1008638.200,0.0,0.0,8837.600,26308.400
49.945,19.934,24.535,0.0,0.0,5.586,0.0,14715289.600,894302.400,870687.400,0.0,0.0,8153.600,22886.800
41.316,20.820,30.205,1.510,0.0,6.149,1638.400,52218265.600,830394.200,809941.600,0.0,0.0,7537.600,21643.0
21.469,22.034,42.260,7.232,0.0,7.006,1638.400,8983347.200,1134809.400,1137842.800,0.0,0.0,11720.0,28491.200
27.024,24.971,38.655,0.228,0.0,9.122,0.0,14745.600,1520925.400,1506440.200,0.0,0.0,13808.400,34297.400
23.853,24.771,42.202,0.573,0.0,8.601,0.0,2463334.400,1595303.0,1587633.400,0.0,0.0,14119.0,34705.400
29.266,23.955,37.288,0.678,0.0,8.814,0.0,2514124.800,1538447.200,1526014.0,0.0,0.0,13207.800,33668.800
20.968,22.235,47.696,0.346,0.0,8.756,0.0,2614067.200,1435327.200,1424606.800,0.0,0.0,12869.400,31490.200
42.652,25.414,21.657,2.431,0.0,7.845,819.200,9104588.800,1340034.200,1306935.600,0.0,0.0,11202.200,31275.0
22.603,20.776,46.233,2.854,0.0,7.534,0.0,5809766.400,1248952.400,1240970.400,0.0,0.0,12096.800,30235.0
25.112,23.655,43.161,0.448,0.0,7.623,0.0,3869900.800,1398146.600,1380382.200,0.0,0.0,12724.200,31555.400
27.708,24.401,38.883,0.114,0.0,8.894,0.0,1096089.600,1542732.600,1535154.600,0.0,0.0,13655.0,33947.200
21.445,21.904,48.280,0.115,0.0,8.257,0.0,5734.400,1468969.600,1459287.200,0.0,0.0,13239.400,32335.200
29.736,24.914,34.099,1.952,0.0,9.300,0.0,4978278.400,1561010.400,1541989.400,0.0,0.0,13639.600,34380.400
